Category,States/UT's,Districts,No. of CSCs,Female,Male,General,OBC,SC,ST,Total,Cases per CSC
Case Registered,Andaman and Nicobar,Nicobar,5,615,852,557,315,546,49,1467,
Case Registered,Andaman and Nicobar,North and Middle Andaman,37,765,1114,199,187,1436,57,1879,
Case Registered,Andaman and Nicobar,South Andaman,31,340,251,42,89,430,30,591,
Case Registered,Andhra Pradesh,Alluri Sitharama Raju,430,6370,6828,3585,4660,3176,1777,13198,
Case Registered,Andhra Pradesh,Anakapalli,646,6311,6267,3532,4196,4347,503,12578,
Case Registered,Andhra Pradesh,Anantapur,577,10050,21628,9189,8651,12245,1593,31678,
Case Registered,Andhra Pradesh,Annamayya,501,2039,1181,1173,776,1118,153,3220,
Case Registered,Andhra Pradesh,Bapatla,461,1756,1960,1729,680,1120,187,3716,
Case Registered,Andhra Pradesh,Chittoor,724,24254,12256,19944,8818,7115,633,36510,
Case Registered,Andhra Pradesh,East Godavari,300,5908,7332,7032,3230,2370,608,13240,
Case Registered,Andhra Pradesh,Eluru,572,345,507,423,199,210,20,852,
Case Registered,Andhra Pradesh,Guntur,258,21371,13942,8831,13189,10245,3048,35313,
Case Registered,Andhra Pradesh,Kakinada,385,775,947,815,445,426,36,1722,
Case Registered,Andhra Pradesh,Konaseema,385,535,576,380,541,163,27,1111,
Case Registered,Andhra Pradesh,Krishna,491,5518,7115,5842,2893,3526,372,12633,
Case Registered,Andhra Pradesh,Kurnool,484,17867,22481,27116,6569,3771,2892,40348,
Case Registered,Andhra Pradesh,Nandyal,489,493,1434,1192,496,225,14,1927,
Case Registered,Andhra Pradesh,NTR,288,1674,3340,1570,1297,2025,122,5014,
Case Registered,Andhra Pradesh,Palnadu,527,1343,2791,2142,747,758,487,4134,
Case Registered,Andhra Pradesh,Parvathipuram Manyam,452,446,965,252,742,265,152,1411,
Case Registered,Andhra Pradesh,Prakasam,730,8765,9790,10959,3607,3607,382,18555,
Case Registered,Andhra Pradesh,Spsr Nellore,722,5505,4151,6201,1096,1933,426,9656,
Case Registered,Andhra Pradesh,Sri Sathya Sai,467,447,1498,803,526,561,55,1945,
Case Registered,Andhra Pradesh,Srikakulam,917,4321,6680,2116,3600,2826,2459,11001,
Case Registered,Andhra Pradesh,Tirupati,774,4909,3206,2348,5115,571,81,8115,
Case Registered,Andhra Pradesh,Visakhapatnam,79,6137,9863,6709,3020,2467,3804,16000,
Case Registered,Andhra Pradesh,Vizianagaram,777,10652,15291,5446,16460,2574,1463,25943,
Case Registered,Andhra Pradesh,West Godavari,368,2885,2600,2724,2205,466,90,5485,
Case Registered,Andhra Pradesh,Y.S.R.,557,4271,6834,5836,4025,1130,114,11105,
